NOTE:
FFi=-1 means that there is no Flop input to the target net n
FFo=-1 means that there is no Flop output from the target net n
PI=-1 means that there is no primary input reachable to target net n


LGFi_avg: 1.9382303839732888
FFi_avg: 3.571285475792988
PI_avg: 11.142904841402338
FFo_avg: 4.216026711185309
PO_avg: 10.85575959933222


Net	LGFi	FFi	FFo	PI	PO
n2776gat	1	-1	0	4	12
n337gat	1	0	9	5	8
n2735gat	1	-1	0	4	9
n842gat	1	0	9	5	11
n2673gat	1	-1	0	4	12
n341gat	1	0	9	5	11
n2779gat	1	-1	0	4	12
n2522gat	4	0	4	15	15
n43gat	12	9	0	14	6
n2472gat	2	0	1	10	11
n1620gat	2	4	0	9	12
n2319gat	1	0	2	12	15
n2470gat	0	1	0	11	10
n1821gat	2	0	3	6	14
n1827gat	2	2	0	5	13
n1825gat	2	0	3	6	12
n2029gat	1	0	1	10	15
n1816gat	2	3	0	9	11
n1829gat	1	0	6	12	13
n2027gat	0	1	0	11	14
n283gat	1	0	9	5	13
n165gat	1	0	9	5	13
n279gat	1	0	9	5	13
n1026gat	1	0	9	5	13
n275gat	1	0	9	5	13
n2476gat	4	0	6	15	17
n55gat	12	9	0	14	6
n1068gat	2	0	9	6	11
n2914gat	4	-1	0	5	12
n957gat	2	0	9	6	11
n2928gat	4	-1	0	5	12
n861gat	2	0	9	6	11
n2927gat	4	-1	0	5	12
n1294gat	2	0	9	6	11
n2896gat	4	-1	0	5	12
n1241gat	2	0	9	6	11
n2922gat	4	-1	0	5	12
n1298gat	2	0	9	6	11
n865gat	2	0	9	6	11
n2894gat	4	-1	0	5	12
n1080gat	2	0	9	6	11
n2921gat	4	-1	0	5	12
n1148gat	2	0	9	6	11
n2895gat	4	-1	0	5	12
n2468gat	4	0	5	16	16
n933gat	12	9	0	15	6
n618gat	1	0	9	5	13
n491gat	1	0	9	5	13
n622gat	1	0	9	5	13
n626gat	1	0	9	5	13
n834gat	1	0	1	8	13
n3064gat	1	8	0	7	14
n707gat	1	0	1	8	13
n3055gat	1	8	0	7	14
n838gat	1	0	1	8	13
n3063gat	1	8	0	7	14
n830gat	1	0	1	8	13
n3062gat	1	8	0	7	14
n614gat	1	0	1	8	13
n3056gat	1	8	0	7	14
n2526gat	4	0	6	15	17
n504gat	12	9	0	14	6
n680gat	2	0	9	6	11
n2913gat	4	11	0	5	12
n816gat	2	0	9	6	11
n2920gat	4	11	0	5	12
n580gat	2	0	9	6	11
n2905gat	4	11	0	5	12
n824gat	1	0	1	8	11
n3057gat	1	8	0	7	12
n820gat	1	0	1	8	11
n3059gat	1	8	0	7	12
n883gat	1	0	1	8	11
n3058gat	1	8	0	7	12
n584gat	2	0	9	6	11
n2898gat	4	11	0	5	12
n684gat	1	0	1	8	11
n3060gat	1	8	0	7	12
n699gat	1	0	1	8	11
n3061gat	1	8	0	7	12
n2464gat	4	0	5	16	16
n567gat	12	9	0	15	6
n2399gat	1	0	1	13	12
n3048gat	1	7	0	12	13
n2343gat	1	0	1	13	12
n3049gat	1	7	0	12	13
n2203gat	1	0	1	13	12
n3051gat	1	7	0	12	13
n2562gat	1	0	1	13	12
n3047gat	1	8	0	12	13
n2207gat	1	0	1	13	12
n3050gat	1	7	0	12	13
n2626gat	1	0	3	13	13
n3040gat	1	8	0	12	14
n2490gat	1	0	3	13	12
n3044gat	1	8	0	12	13
n2622gat	1	0	3	13	12
n3042gat	1	8	0	12	13
n2630gat	1	0	1	13	12
n3037gat	1	8	0	12	13
n2543gat	1	0	1	13	12
n3041gat	1	8	0	12	13
n2102gat	2	0	6	9	11
n1606gat	2	3	0	8	12
n1880gat	1	0	3	9	9
n3052gat	1	4	0	8	10
n1763gat	2	0	6	9	11
n1610gat	2	4	0	8	12
n2155gat	1	0	9	16	18
n1858gat	1	6	0	15	10
n1035gat	2	0	11	6	8
n2918gat	3	7	0	5	9
n1121gat	2	0	11	6	8
n2952gat	3	7	0	5	9
n1072gat	2	0	11	6	8
n2919gat	3	7	0	5	9
n1282gat	2	0	9	6	8
n2910gat	3	7	0	5	9
n1226gat	2	0	9	6	8
n2907gat	3	7	0	5	9
n931gat	2	0	11	6	8
n2911gat	3	7	0	5	9
n1135gat	2	0	11	6	8
n2912gat	3	7	0	5	9
n1045gat	2	0	11	6	8
n2909gat	3	7	0	5	9
n1197gat	2	0	3	6	9
n2908gat	3	7	0	5	10
n2518gat	2	0	6	10	17
n2971gat	4	3	0	9	6
n667gat	3	0	3	6	9
n2904gat	5	7	0	5	10
n659gat	3	0	9	6	11
n2891gat	5	7	0	5	12
n553gat	3	0	9	6	11
n2903gat	5	7	0	5	12
n777gat	3	0	9	6	11
n2915gat	5	7	0	5	12
n561gat	3	0	9	6	11
n2901gat	5	7	0	5	12
n366gat	3	0	9	6	11
n2890gat	5	7	0	5	12
n322gat	3	0	9	6	11
n2888gat	5	7	0	5	12
n318gat	3	0	9	6	11
n2887gat	5	7	0	5	12
n314gat	3	0	9	6	11
n2886gat	5	7	0	5	12
n2599gat	2	0	4	10	15
n3010gat	4	3	0	9	6
n2588gat	2	0	3	10	10
n3016gat	2	4	0	9	11
n2640gat	1	0	1	14	15
n3054gat	1	7	0	13	16
n2658gat	2	0	5	23	12
n2579gat	4	9	0	22	6
n2495gat	1	0	1	12	13
n3036gat	1	7	0	11	14
n2390gat	1	0	1	11	9
n3034gat	1	6	0	10	10
n2270gat	1	0	1	11	9
n3031gat	1	6	0	10	10
n2339gat	1	0	1	11	9
n3035gat	1	6	0	10	10
n2502gat	2	0	5	19	12
n2646gat	4	7	0	18	6
n2634gat	1	0	1	14	15
n3053gat	1	7	0	13	16
n2506gat	2	0	5	23	12
n2613gat	4	9	0	22	6
n1834gat	2	0	3	12	9
n1625gat	2	5	0	11	9
n1767gat	2	0	3	12	9
n1626gat	2	5	0	11	9
n2084gat	1	0	9	13	13
n1603gat	3	3	0	12	11
n2143gat	1	0	4	15	11
n2541gat	0	1	0	14	12
n2061gat	1	0	4	17	11
n2557gat	1	3	0	16	12
n2139gat	1	0	5	17	11
n2487gat	1	3	0	16	12
n1899gat	1	0	4	17	11
n2532gat	1	3	0	16	12
n1850gat	1	0	5	15	11
n2628gat	0	1	0	14	12
n2403gat	1	0	7	15	10
n2397gat	0	1	0	14	11
n2394gat	1	0	6	15	10
n2341gat	0	1	0	14	11
n2440gat	1	0	7	15	10
n2560gat	0	1	0	14	11
n2407gat	1	0	4	15	10
n2205gat	0	1	0	14	11
n2347gat	1	0	4	15	10
n2201gat	0	1	0	14	11
n1389gat	2	0	5	18	9
n1793gat	3	5	0	17	10
n2021gat	1	0	3	14	10
n1781gat	3	7	0	13	11
n1394gat	2	0	1	21	9
n1516gat	2	5	0	20	10
n1496gat	1	0	8	23	25
n1392gat	0	1	0	22	8
n2091gat	1	0	8	14	25
n1685gat	4	7	0	13	11
n1332gat	2	0	1	21	26
n1565gat	2	5	0	20	27
n1740gat	1	0	7	23	24
n1330gat	0	1	0	22	25
n2179gat	1	0	4	14	21
n1945gat	2	7	0	13	22
n2190gat	1	0	6	13	10
n2268gat	0	1	0	12	11
n2135gat	1	0	6	13	10
n2337gat	0	1	0	12	11
n2262gat	1	0	6	13	10
n2388gat	0	1	0	12	11
n2182gat	1	0	4	14	21
n1836gat	4	7	0	13	22
n1433gat	2	0	1	19	16
n2983gat	7	4	0	18	17
n1316gat	1	0	1	21	14
n1431gat	0	1	0	20	15
n1363gat	1	0	1	23	13
n1314gat	0	1	0	22	14
n1312gat	1	0	2	25	11
n1361gat	0	1	0	24	12
n1775gat	2	0	1	9	6
n1696gat	2	4	0	8	7
n1871gat	3	0	6	7	6
n2009gat	5	3	0	6	7
n2592gat	1	0	1	11	10
n1773gat	0	1	0	10	5
n1508gat	2	0	7	16	10
n1636gat	2	6	0	15	11
n1678gat	1	0	7	21	10
n1712gat	3	5	0	20	11
n2309gat	2	0	1	14	9
n3000gat	2	5	0	13	10
n2450gat	1	0	8	16	7
n2307gat	0	1	0	15	8
n2446gat	1	0	8	14	6
n2661gat	2	3	0	13	7
n2095gat	1	0	1	8	8
n827gat	2	10	0	7	9
n2176gat	1	0	1	10	9
n2093gat	0	1	0	9	7
n2169gat	1	0	3	12	9
n2174gat	0	1	0	11	8
n2454gat	4	0	5	7	8
n2163gat	5	2	0	6	9
n2040gat	1	0	3	15	14
n1777gat	1	8	0	14	13
n2044gat	3	0	1	13	10
n2015gat	3	3	0	12	11
n2037gat	1	0	1	15	8
n2042gat	0	1	0	14	9
n2025gat	2	0	1	13	19
n2017gat	3	3	0	12	20
n2099gat	1	0	7	15	17
n2023gat	0	1	0	14	18
n2266gat	1	0	7	14	21
n2493gat	0	1	0	13	12
n2033gat	1	0	1	17	9
n2035gat	0	1	0	16	7
n2110gat	1	0	1	19	8
n2031gat	0	1	0	18	8
n2125gat	1	0	1	21	15
n2108gat	0	1	0	20	7
n2121gat	1	0	1	23	16
n2123gat	0	1	0	22	17
n2117gat	1	0	4	25	14
n2119gat	0	1	0	24	15
n1975gat	1	0	7	16	23
n2632gat	0	1	0	15	14
n2644gat	1	0	7	16	23
n2638gat	0	1	0	15	14
n156gat	1	0	8	10	22
n612gat	0	1	0	9	14
n152gat	1	0	8	10	22
n705gat	0	1	0	9	14
n331gat	1	0	8	10	20
n822gat	0	1	0	9	14
n388gat	1	0	8	10	20
n881gat	0	1	0	9	14
n463gat	1	0	8	10	20
n818gat	0	1	0	9	14
n327gat	1	0	8	10	20
n682gat	0	1	0	9	14
n384gat	1	0	8	10	20
n697gat	0	1	0	9	14
n256gat	1	0	8	10	22
n836gat	0	1	0	9	14
n470gat	1	0	8	10	22
n828gat	0	1	0	9	14
n148gat	1	0	8	10	22
n832gat	0	1	0	9	14
n2458gat	1	0	1	13	8
n2590gat	0	1	0	12	9
n2514gat	1	0	-1	15	6
n2456gat	0	1	0	14	7
n1771gat	2	0	-1	9	6
n1613gat	2	4	0	8	7
n1336gat	2	0	-1	20	11
n1391gat	2	6	0	19	12
n1748gat	2	0	-1	14	10
n1927gat	2	6	0	13	11
n1675gat	1	0	-1	22	10
n1713gat	3	4	0	21	11
n1807gat	1	0	-1	20	10
n1717gat	3	4	0	19	11
n1340gat	2	0	-1	21	9
n1567gat	2	5	0	20	10
n1456gat	4	0	-1	14	10
n1564gat	6	4	0	13	11
n1525gat	1	0	-1	21	10
n1632gat	3	5	0	20	11
n1462gat	2	0	-1	21	11
n1915gat	2	5	0	20	12
n1596gat	2	0	-1	21	8
n1800gat	2	5	0	20	9
n1588gat	2	0	-1	23	9
n1593gat	2	2	0	22	10
I1	0	-1	8	1	11
n2717gat	1	-1	7	2	10
n2715gat	1	-1	6	3	9
I5	0	-1	8	1	11
n2725gat	1	-1	7	2	10
n2723gat	1	-1	6	3	9
n296gat	3	3	8	5	22
n421gat	3	2	9	4	23
I11	0	-1	6	1	14
n2768gat	1	-1	5	2	13
I14	1	-1	4	3	12
n2767gat	1	-1	3	4	11
n373gat	1	-1	2	5	13
I18	0	-1	3	1	13
n2671gat	1	-1	2	2	12
n2669gat	1	-1	2	3	11
I23	0	-1	4	1	15
n2845gat	1	-1	3	2	14
n2844gat	1	-1	2	3	13
I27	0	-1	6	1	14
n2668gat	1	-1	5	2	13
I30	1	-1	4	3	12
n2667gat	1	-1	3	4	11
n856gat	1	-1	2	5	13
I44	0	1	6	7	9
n672gat	1	2	5	8	8
I47	0	-1	3	1	13
n2783gat	1	-1	2	2	12
I50	1	-1	1	3	13
n396gat	0	1	7	6	14
I62	0	-1	3	1	13
n2791gat	1	-1	2	2	12
I65	1	-1	1	3	13
I76	0	1	9	6	12
n401gat	1	2	8	7	11
n1645gat	2	3	7	8	16
n1499gat	2	2	7	7	16
I81	1	-1	1	3	13
I92	0	1	9	6	12
n918gat	1	2	8	7	11
n1553gat	2	3	7	8	16
n1616gat	2	2	7	7	16
I97	0	-1	3	1	13
n2794gat	1	-1	2	2	12
I100	1	-1	1	3	13
I111	0	1	9	6	12
n845gat	1	2	8	7	11
n1559gat	2	3	7	8	16
n1614gat	2	2	7	7	16
n1643gat	3	5	5	10	14
n1641gat	3	4	6	9	15
n1651gat	3	4	5	9	14
n1642gat	4	3	6	8	15
n1562gat	3	4	5	9	14
n1556gat	5	3	6	8	15
n1560gat	3	4	5	9	14
n1557gat	4	3	6	8	15
n1640gat	3	4	5	9	14
n1639gat	4	3	6	8	15
n1566gat	4	3	5	8	14
n1605gat	7	2	6	7	15
n1554gat	3	4	5	9	14
n1555gat	5	3	6	8	15
n1722gat	3	4	5	9	14
n1558gat	5	3	6	8	15
n392gat	0	1	3	6	12
I149	0	1	6	6	10
n702gat	1	2	5	7	9
n1319gat	2	3	3	8	10
n1256gat	2	2	4	7	11
n720gat	0	1	3	6	12
I171	0	1	6	6	10
n725gat	1	2	5	7	9
n1447gat	2	3	3	8	11
n1117gat	2	2	4	7	12
n1627gat	2	5	1	10	10
n1618gat	2	4	2	9	11
I178	0	1	6	6	10
n721gat	1	2	5	7	9
n1380gat	2	4	3	9	11
n1114gat	2	3	4	8	12
n1628gat	2	5	1	10	10
n1621gat	2	4	2	9	11
n701gat	0	1	3	6	12
n1446gat	2	3	1	8	11
n1318gat	2	2	2	7	12
n1705gat	2	5	3	10	9
n1619gat	2	4	4	9	10
n1706gat	2	5	3	10	9
n1622gat	2	4	4	9	10
I192	0	-1	10	1	13
n2856gat	1	-1	9	2	12
n2854gat	1	-1	8	3	11
I196	1	-1	7	4	13
n1218gat	1	-1	6	5	12
I199	0	-1	9	1	12
n2861gat	1	-1	8	2	11
n2859gat	1	-1	7	3	10
I203	1	-1	7	4	13
n1219gat	1	-1	6	5	12
I206	0	-1	10	1	13
n2864gat	1	-1	9	2	12
n2862gat	1	-1	8	3	11
I210	1	-1	7	4	13
n1220gat	1	-1	6	5	12
I214	1	-1	9	3	11
n2860gat	1	-1	8	4	10
I217	1	-1	7	5	13
n1221gat	1	-1	6	6	12
I220	1	-1	8	3	11
n2863gat	1	-1	7	4	10
I223	1	-1	7	5	13
n1222gat	1	-1	6	6	12
I227	1	-1	8	3	11
n2855gat	1	-1	7	4	10
I230	1	-1	7	5	13
n1223gat	1	-1	6	6	12
n640gat	4	-1	4	8	10
n1213gat	12	-1	4	7	10
I237	1	-1	3	9	9
n753gat	1	-1	2	10	8
I240	1	-1	7	3	13
n2716gat	1	-1	6	4	12
I243	0	-1	8	1	14
n2869gat	1	-1	7	2	13
n2867gat	1	-1	6	3	12
I248	1	-1	7	3	13
n2868gat	1	-1	6	4	12
I253	2	-1	3	6	9
n2906gat	4	-1	4	5	10
n754gat	1	-1	2	7	8
I256	1	-1	7	3	11
n2724gat	1	-1	6	4	10
I259	0	-1	8	1	11
n2728gat	1	-1	7	2	10
n2726gat	1	-1	6	3	9
I264	1	-1	7	3	11
n2727gat	1	-1	6	4	10
n422gat	2	-1	4	6	10
n2889gat	4	-1	4	5	10
I270	1	-1	3	7	9
n755gat	1	-1	2	8	8
n747gat	2	-1	4	6	10
I275	1	-1	3	7	9
n756gat	1	-1	2	8	8
I278	2	-1	3	6	9
n757gat	1	-1	2	7	8
I282	4	-1	3	8	9
n758gat	1	-1	2	9	8
n2508gat	0	1	4	11	11
I297	0	-1	3	1	13
n2733gat	1	-1	2	2	12
I300	1	-1	1	3	13
I311	0	1	2	6	10
n270gat	1	2	1	7	9
I314	1	3	7	8	13
n263gat	1	4	6	9	12
I317	0	-1	3	1	13
n2777gat	1	-1	2	2	12
I320	1	-1	1	3	13
I331	0	1	9	6	10
n159gat	1	2	8	7	9
I334	1	3	7	8	13
n264gat	1	4	6	9	12
I337	0	-1	3	1	12
n2736gat	1	-1	2	2	11
I340	1	-1	1	3	10
I351	0	1	9	6	7
n336gat	1	2	8	7	6
I354	1	3	7	8	13
n265gat	1	4	6	9	12
n158gat	0	1	8	6	14
I359	1	2	7	7	13
n266gat	1	3	6	8	12
n335gat	0	1	8	6	14
I363	1	2	7	7	13
n267gat	1	3	6	8	12
n269gat	0	1	8	6	14
I368	1	2	7	7	13
n268gat	1	3	6	8	12
n41gat	4	6	4	11	10
n258gat	12	5	4	10	10
I375	1	7	3	12	9
n48gat	1	8	2	13	8
I378	1	3	7	8	13
n1018gat	1	4	6	9	12
I381	0	-1	3	1	14
n2674gat	1	-1	2	2	13
I384	1	-1	1	3	13
I395	0	1	9	6	10
n841gat	1	2	8	7	9
I398	1	3	7	8	13
n1019gat	1	4	6	9	12
I401	1	3	7	8	13
n1020gat	1	4	6	9	12
n840gat	0	1	8	6	14
I406	1	2	7	7	13
n1021gat	1	3	6	8	12
I409	1	2	7	7	13
n1022gat	1	3	6	8	12
n724gat	0	1	3	6	12
I414	1	2	7	7	13
n1023gat	1	3	6	8	12
I420	4	6	3	11	9
n1013gat	12	5	4	10	10
n49gat	1	7	2	12	8
I423	0	-1	3	1	13
n2780gat	1	-1	2	2	12
I426	1	-1	1	3	13
I437	0	1	9	6	10
n340gat	1	2	8	7	9
I440	1	3	7	8	13
n480gat	1	4	6	9	12
I443	1	3	7	8	13
n481gat	1	4	6	9	12
I446	0	1	8	6	10
n393gat	1	2	7	7	9
I449	1	3	7	8	13
n482gat	1	4	6	9	12
I453	1	2	7	7	13
n483gat	1	3	6	8	12
I456	1	2	7	7	13
n484gat	1	3	6	8	12
n339gat	0	1	8	6	14
I461	1	2	7	7	13
n485gat	1	3	6	8	12
n42gat	4	6	4	11	10
n475gat	12	5	4	10	10
I468	1	7	3	12	9
n50gat	1	8	2	13	8
n162gat	4	6	4	11	10
I473	1	7	3	12	9
n51gat	1	8	2	13	8
I476	4	6	3	11	9
n52gat	1	7	2	12	8
I480	4	6	3	11	9
n53gat	1	7	2	12	8
n2520gat	0	1	3	16	14
n1448gat	2	3	1	8	10
n1376gat	2	2	2	7	11
n1701gat	2	5	3	10	8
n1617gat	2	4	4	9	9
n1379gat	2	3	5	8	10
n1377gat	2	2	6	7	11
n1615gat	2	5	3	10	8
n1624gat	2	4	4	9	9
n1500gat	2	3	5	8	10
n1113gat	2	2	6	7	11
n1503gat	2	5	3	10	8
n1501gat	2	4	4	9	9
n1779gat	2	5	3	10	9
n1623gat	2	4	4	9	10
I509	0	-1	4	1	17
n2730gat	1	-1	3	2	16
I512	1	-1	2	3	15
n2729gat	1	-1	1	4	14
n2317gat	0	1	1	13	14
n1819gat	0	1	2	7	13
n1823gat	0	1	2	7	11
n1817gat	2	2	1	8	12
I572	0	1	5	13	12
n1828gat	1	2	4	14	11
I576	0	-1	5	1	12
n2851gat	1	-1	4	2	11
I579	1	-1	3	3	10
n2850gat	1	-1	2	4	9
I583	2	-1	5	2	14
n2786gat	0	-1	5	1	7
n2785gat	1	-1	4	3	13
n92gat	1	-1	3	4	12
n637gat	2	-1	6	5	8
n529gat	2	-1	7	4	9
n293gat	2	-1	5	5	14
n361gat	2	-1	6	4	15
I591	0	-1	6	1	8
n2722gat	1	-1	5	2	7
I594	1	-1	5	3	14
n2721gat	1	-1	4	4	13
n297gat	1	-1	3	5	12
I606	0	1	9	6	12
n282gat	1	2	8	7	11
I609	1	3	7	8	13
n172gat	1	4	6	9	12
I620	0	1	9	6	12
n164gat	1	2	8	7	11
I623	1	3	7	8	13
n173gat	1	4	6	9	12
I634	0	1	9	6	12
n278gat	1	2	8	7	11
I637	1	3	7	8	13
n174gat	1	4	6	9	12
n163gat	0	1	8	6	14
I642	1	2	7	7	13
n175gat	1	3	6	8	12
n277gat	0	1	8	6	14
I646	1	2	7	7	13
n176gat	1	3	6	8	12
n281gat	0	1	8	6	14
I651	1	2	7	7	13
n177gat	1	3	6	8	12
n54gat	4	6	4	11	10
n167gat	12	5	4	10	10
I658	1	7	3	12	9
n60gat	1	8	2	13	8
I661	1	3	7	8	13
n911gat	1	4	6	9	12
I672	0	1	9	6	12
n1025gat	1	2	8	7	11
I675	1	3	7	8	13
n912gat	1	4	6	9	12
I678	1	3	7	8	13
n913gat	1	4	6	9	12
n1024gat	0	1	8	6	14
I683	1	2	7	7	13
n914gat	1	3	6	8	12
n917gat	0	1	8	6	14
I687	1	2	7	7	13
n915gat	1	3	6	8	12
n844gat	0	1	8	6	14
I692	1	2	7	7	13
n916gat	1	3	6	8	12
I698	4	6	3	11	9
n906gat	12	5	4	10	10
n61gat	1	7	2	12	8
I709	0	1	9	6	12
n274gat	1	2	8	7	11
I712	1	3	7	8	13
n348gat	1	4	6	9	12
I715	1	3	7	8	13
n349gat	1	4	6	9	12
I718	0	1	9	6	12
n397gat	1	2	8	7	11
I721	1	3	7	8	13
n350gat	1	4	6	9	12
n400gat	0	1	8	6	14
I726	1	2	7	7	13
n351gat	1	3	6	8	12
I729	1	2	7	7	13
n352gat	1	3	6	8	12
n273gat	0	1	8	6	14
I734	1	2	7	7	13
n353gat	1	3	6	8	12
n178gat	4	6	4	11	10
n343gat	12	5	4	10	10
I741	1	7	3	12	9
n62gat	1	8	2	13	8
n66gat	4	6	4	11	10
I746	1	7	3	12	9
n63gat	1	8	2	13	8
I749	4	6	3	11	9
n64gat	1	7	2	12	8
I753	4	6	3	11	9
n65gat	1	7	2	12	8
n2474gat	0	1	5	16	16
I768	0	-1	8	1	19
n2832gat	1	-1	7	2	18
I771	1	-1	6	3	17
n2831gat	1	-1	5	4	16
n2731gat	1	-1	2	3	11
I776	0	-1	4	1	16
n2719gat	1	-1	3	2	15
n2718gat	1	-1	2	3	14
I790	0	1	9	7	10
n1067gat	1	2	8	8	9
I793	1	3	7	9	13
n949gat	1	4	6	10	12
I796	0	-1	4	1	16
n2839gat	1	-1	3	2	15
n2838gat	1	-1	2	3	14
n2775gat	1	-1	2	3	11
I812	0	1	9	7	10
n956gat	1	2	8	8	9
I815	1	3	7	9	13
n950gat	1	4	6	10	12
I818	0	-1	4	1	16
n2712gat	1	-1	3	2	15
n2711gat	1	-1	2	3	14
n2734gat	1	-1	2	3	11
I834	0	1	9	7	10
n860gat	1	2	8	8	9
I837	1	3	7	9	13
n951gat	1	4	6	10	12
n955gat	0	1	8	7	14
I842	1	2	7	8	13
n952gat	1	3	6	9	12
n859gat	0	1	8	7	14
I846	1	2	7	8	13
n953gat	1	3	6	9	12
n1066gat	0	1	8	7	14
I851	1	2	7	8	13
n954gat	1	3	6	9	12
n857gat	4	6	4	12	10
n944gat	12	5	4	11	10
I858	1	7	3	13	9
n938gat	1	8	2	14	8
n2792gat	1	-1	2	3	11
I863	0	-1	4	1	16
n2847gat	1	-1	3	2	15
n2846gat	1	-1	2	3	14
I877	0	1	9	7	10
n1293gat	1	2	8	8	9
I880	1	3	7	9	13
n1233gat	1	4	6	10	12
n2672gat	1	-1	2	3	12
I885	0	-1	4	1	14
n2853gat	1	-1	3	2	13
n2852gat	1	-1	2	3	12
I899	0	1	9	7	10
n1240gat	1	2	8	8	9
I902	1	3	7	9	13
n1234gat	1	4	6	10	12
I913	0	1	9	7	10
n1297gat	1	2	8	8	9
I916	1	3	7	9	13
n1235gat	1	4	6	10	12
n1239gat	0	1	8	7	14
I921	1	2	7	8	13
n1236gat	1	3	6	9	12
n1296gat	0	1	8	7	14
I925	1	2	7	8	13
n1237gat	1	3	6	9	12
n1292gat	0	1	8	7	14
I930	1	2	7	8	13
n1238gat	1	3	6	9	12
I936	4	6	3	12	9
n1228gat	12	5	4	11	10
n939gat	1	7	2	13	8
n2778gat	1	-1	2	3	11
I941	0	-1	4	1	16
n2837gat	1	-1	3	2	15
n2836gat	1	-1	2	3	14
I955	0	1	9	7	10
n864gat	1	2	8	8	9
I958	1	3	7	9	13
n1055gat	1	4	6	10	12
n2789gat	1	-1	2	3	11
I963	0	-1	4	1	16
n2841gat	1	-1	3	2	15
n2840gat	1	-1	2	3	14
I977	0	1	9	7	10
n1079gat	1	2	8	8	9
I980	1	3	7	9	13
n1056gat	1	4	6	10	12
n2781gat	1	-1	2	3	11
I985	0	-1	4	1	16
n2843gat	1	-1	3	2	15
n2842gat	1	-1	2	3	14
I999	0	1	9	7	10
n1147gat	1	2	8	8	9
I1002	1	3	7	9	13
n1057gat	1	4	6	10	12
n1078gat	0	1	8	7	14
I1007	1	2	7	8	13
n1058gat	1	3	6	9	12
n1146gat	0	1	8	7	14
I1011	1	2	7	8	13
n1059gat	1	3	6	9	12
n863gat	0	1	8	7	14
I1016	1	2	7	8	13
n1060gat	1	3	6	9	12
n928gat	4	6	4	12	10
n1050gat	12	5	4	11	10
I1023	1	7	3	13	9
n940gat	1	8	2	14	8
n858gat	4	6	4	12	10
I1028	1	7	3	13	9
n941gat	1	8	2	14	8
I1031	4	6	3	12	9
n942gat	1	7	2	13	8
I1035	4	6	3	12	9
n943gat	1	7	2	13	8
n2466gat	0	1	4	17	15
n2720gat	1	-1	4	3	6
n740gat	1	-1	4	5	10
n2784gat	2	-1	4	2	6
n743gat	2	-1	5	5	14
n746gat	2	-1	6	4	15
n294gat	2	-1	6	5	8
n360gat	2	-1	7	4	9
n374gat	1	-1	4	5	10
n616gat	0	1	8	6	14
I1067	1	2	7	7	13
n501gat	1	3	6	8	12
n489gat	0	1	8	6	14
I1079	1	2	7	7	13
n502gat	1	3	6	8	12
I1082	0	1	9	6	12
n617gat	1	2	8	7	11
I1085	1	3	7	8	13
n499gat	1	4	6	9	12
I1088	0	1	9	6	12
n490gat	1	2	8	7	11
I1091	1	3	7	8	13
n500gat	1	4	6	9	12
n620gat	0	1	8	6	14
I1103	1	2	7	7	13
n738gat	1	3	6	8	12
n624gat	0	1	8	6	14
I1115	1	2	7	7	13
n737gat	1	3	6	8	12
I1118	0	1	9	6	12
n621gat	1	2	8	7	11
I1121	1	3	7	8	13
n733gat	1	4	6	9	12
I1124	0	1	9	6	12
n625gat	1	2	8	7	11
